type,job_title,job_area,salary_bot,salary_top,year,education,company_title,company_info,skill,publis_name,welfare
java工程师,java工程师,东营,6000,10000,5-10,本科,山东蓝海股份有限公司,酒店/民宿不需要融资10000人以上,Java, 秦女士, 
java工程师,Java工程师,武汉,12000,16000,5-10,本科,赢想未来,电子商务不需要融资20-99人,后端工程师 不限 MySQL Java JavaScript Java开发经验 分布式系统开发经验 中大型项目架构设计经验 商城 java 支付 微信 SpringBoot, 李女士,年终奖，零食下午茶，员工旅游，加班补助，五险一金，节日福利，全勤奖，带薪年假
java工程师,java工程师,上海,13000,20000,5-10,本科,秦骏,其他行业不需要融资20-99人,后端工程师, 成先生,五险一金，餐补，股票期权，带薪年假，年终奖
java工程师,Java工程师,杭州,17500,35000,5-10,本科,老板电器,其他行业已上市1000-9999人,后端工程师 Java Spring Redis Java开发经验, 杨先生,高温补贴，补充医疗保险，年终奖，带薪年假，餐补，意外险，节日福利，生日福利，员工旅游，定期体检，全勤奖，五险一金
java工程师,java工程师,北京,15000,16000,5-10,本科,国彩时代,移动互联网20-99人,Java, 郭先生, 
java工程师,Java工程师,苏州,5000,8000,5-10,本科,和育医疗科技,医疗健康20-99人,Java 全栈工程师 团队管理经验 全栈开发 分布式技术 HTML SpringBoot Spring 数据结构 中级软件工程师 SQL Java开发经验 MySQL 后端开发, 闫先生, 
java工程师,Java工程师,潍坊,10000,11000,5-10,本科,量点网科,智能硬件天使轮0-20人,Java 多线程 服务器配置 消息队列 Spring Redis Linux, 邢先生,定期体检，全勤奖，带薪年假，五险一金，节日福利，通讯补贴，餐补，加班补助，交通补助，年终奖，股票期权
java工程师,java工程师,武汉,7000,12000,3-5,本科,北京葡萄藤,移动互联网未融资20-99人,Java 不接受居家办公 Redis Spring, 郭女士,五险一金，股票期权，节日福利，父母亲节礼品，带薪年假，餐补
java工程师,Java工程师,济宁,5000,8000,3-5,本科,黑马软件,计算机软件不需要融资20-99人,Java开发经验 JAVA Java 不接受居家办公 软件工程师 后端工程师 软件研发, 段先生,保底工资，带薪年假，定期体检，交通补助，员工旅游，加班补助，五险一金，住房补贴，绩效奖金，意外险，节假日加班费，团建聚餐，通讯补贴，底薪加提成，节日福利，工龄奖，股票期权，生日福利
java工程师,java工程师,杭州,12500,18750,3-5,本科,要务科技,互联网A轮100-499人,Spring Java MySQL, 曾女士,入职体检报销，员工旅游，带薪年假，定期体检，餐补，五险一金，节日福利，独立食堂，年终奖，生日福利，带薪病假，免费班车，零食下午茶，补充医疗保险
java工程师,java工程师,武汉,12000,15000,3-5,本科,中泰信达,环保未融资20-99人,后端工程师 Java Spring JavaScript 分布式系统开发经验 Java开发经验 中大型项目架构设计经验, 何先生,年终奖，补充医疗保险，股票期权，五险一金，全勤奖，交通补助，节日福利，加班补助
java工程师,java工程师,北京,21666,43333,3-5,本科,锦鸿全,机械设备/机电/重工未融资0-20人,Java C/C++ 架构师 后端工程师 不接受居家办公 前端 大型分布式项目 高并发高可用, 李先生,五险一金
java工程师,java工程师,杭州,13000,18416,3-5,本科,杭州禾束信息科技...,互联网未融资0-20人,Java Spring MySQL 计算机/软件工程相关经验 Java开发经验, 郑女士,年终奖，五险
java工程师,java工程师,安阳,9000,10000,3-5,本科,大连鲤想科技,移动互联网100-499人,Java, 王女士, 
java工程师,java工程师,武汉,8000,10000,3-5,本科,美新瑞杰,大数据未融资20-99人,JVM Nginx Java 不接受居家办公 大数据处理经验 Redis Java开发经验 音视频经验 C/C++ 微服务经验 分布式系统开发经验 MySQL MyBatis 架构设计经验 Python, 郑女士,加班补助，补充医疗保险，员工旅游，年终奖，带薪年假，节日福利，五险一金，交通补助，餐补
java工程师,java工程师,西安,13000,15000,3-5,本科,吉林省智迅未来,互联网未融资0-20人,Java SpringCloud MySQL Oracle, 黄女士,保底工资，五险一金
java工程师,Java工程师,武汉,11000,22000,3-5,本科,能众科技,新能源20-99人,Java开发经验 全栈工程师 Java 中大型项目架构设计经验 后端工程师 计算机/软件工程相关经验, 朱先生,五险一金
java工程师,Java工程师,重庆,5000,10000,3-5,本科,三傅科技,互联网未融资0-20人,后端开发 Java, 张先生, 
java工程师,java工程师,北京,13000,15000,3-5,本科,宝石花医疗信息公司,医疗健康不需要融资20-99人,Java MyBatis MySQL 计算机/软件工程相关经验 Java开发经验, 姚女士,带薪年假，五险一金，年终奖，补充医疗保险，生日福利
java工程师,JAVA工程师,徐州,6000,11000,3-5,本科,徐州兆恒工控,计算机软件未融资20-99人,后端工程师 Java Spring Redis Java开发经验 消息队列 KAFKA 流数据, 雷先生,节假日加班费，节日福利，有无线网，员工旅游，包住，免费工装，团建聚餐，五险一金，交通补助，定期体检
java工程师,Java 工程师,呼和浩特,10833,14083,3-5,本科,博思软件,计算机软件已上市1000-9999人,计算机软件 Spring SpringMVC Oracle 后端开发 全栈开发 Linux 软件工程师, 王女士,交通补助，员工俱乐部，加班补助，年终奖，员工旅游，零食下午茶，节日福利，定期体检，五险一金，通讯补贴，带薪年假，股票期权，餐补
java工程师,JAVA 开发工程师,成都,11916,19500,3-5,本科,虚谷伟业,大数据天使轮100-499人,HTML CSS 分布式技术 多线程 服务器配置 微服务架构 MVC开发 Spring, 代女士,意外险，住房补贴，生日福利，零食下午茶，节假日加班费，夜班补助，年终奖，有无线网，出差补助，团建聚餐，加班补助，绩效奖金，技能培训，不定期团建，餐补，交通补助，节日福利，带薪年假，五险一金
java工程师,JAVA 高级工程师,丹东,5000,10000,3-5,本科,育小帮,计算机服务不需要融资20-99人,Java开发经验 Java MySQL MyBatis 后端工程师, 段先生,定期体检，五险一金，餐补，带薪年假，加班补助，员工旅游，年终奖，全勤奖，包吃，节日福利
java工程师,Java 高级开发工程师,广州,20000,30000,3-5,本科,梦山科技,移动互联网不需要融资20-99人,, 钟先生,零食下午茶，团建聚餐，五险一金，绩效奖金，节日福利
java工程师,java 后台开发工程师,杭州,14083,19500,3-5,本科,万胜,仪器仪表/工业自动化已上市500-999人,Java Spring MySQL Java开发经验, 刘先生,节日福利，年终奖，带薪年假，五险一金，员工旅游
java工程师,java 开发工程师(乌鲁木齐),乌鲁木齐,10000,15000,3-5,本科,浩鲸科技,通信/网络设备未融资10000人以上,Java 缓存机制 IO react 后端工程师 Spring 计算机/软件工程相关经验 springboot SQL Java开发经验 分布式系统开发经验 MySQL 多线程 mysql Oracle, 余女士,节日福利，定期体检，补充医疗保险，五险一金
java工程师,java 高级工程师 - 硕士,广州,12000,18000,3-5,本科,东信软件,计算机软件未融资500-999人,后端工程师 架构师 Java, 黄先生,年终奖，交通补助，节日福利，定期体检，餐补，通讯补贴，带薪年假，五险一金，节假日加班费
java工程师,Java 研发工程师(跨境电商),上海,40000,80000,3-5,本科,拼多多,互联网已上市1000-9999人,Java Kafka Dubbo Elasticsearch MySQL Redis HBase, 罗先生,定期体检，股票期权，五险一金，交通补助，带薪年假，包吃，节日福利，年终奖
java工程师,高级java工程师,苏州,10000,15000,3-5,本科,久道,计算机软件未融资20-99人,全栈工程师 Spring MyBatis Java Java开发经验 团队管理经验 中大型项目架构设计经验, 朱先生,节日福利，年终奖，绩效奖金，团建聚餐，零食下午茶，生日福利
java工程师,JAVA工程师(初级),厦门,5000,8000,3-5,本科,米雨信息技术有限公司,计算机软件0-20人,后端工程师 全栈工程师 Java JavaScript 计算机/软件工程相关经验 Java开发经验, 郑女士, 
java工程师,中级Java工程师,广州,15000,30000,3-5,本科,拓普视科技,计算机软件未融资20-99人,数据结构 算法基础 Spring SpringBoot Linux Maven SpringCloud 计算机软件, 刘女士,餐补，年终奖，交通补助，带薪年假，员工旅游，股票期权，五险一金，通讯补贴，节日福利
java工程师,高级java工程师,武汉,11000,18000,3-5,本科,亚欧非,计算机软件不需要融资20-99人,后端工程师 Java Spring, 邓先生,夜班补助，带薪年假，五险一金，年终奖，加班补助
java工程师,高级JAVA工程师,成都,12000,16000,3-5,本科,合络创新,通信/网络设备未融资20-99人,Java Hibernate 不接受居家办公 PostgreSQL 分布式技术 Redis Dubbo Spring 大数据经验 Hive Elasticsearch 微服务经验 MySQL MongoDB Mybatis, 魏先生,团建聚餐，餐补，法定节假日三薪，底薪加提成，夜班补助，交通补助，带薪年假，绩效奖金，五险一金，年终奖，节日福利，生日福利，保底工资
java工程师,高级java工程师,南京,15000,30000,3-5,本科,SHEIN,电子商务D轮及以上10000人以上,后端工程师 Java Spring MyBatis 计算机/软件工程相关经验 Java开发经验, 占女士,零食下午茶，补充医疗保险，带薪年假，加班补助，年终奖，定期体检，节日福利，五险一金
java工程师,高级Java工程师,北京,10000,15000,3-5,本科,久滴科技,移动互联网不需要融资20-99人,Java Hadoop 数据库 中级软件工程师 SpringBoot SpringCloud IDEA MySQL, 吕先生,生日福利，带薪年假，绩效奖金，定期体检，团建聚餐，法定节假日三薪，节日福利，五险一金，员工旅游，有无线网
java工程师,中级JAVA工程师,北京,10833,16250,3-5,本科,华昌致信,计算机软件未融资20-99人,JAVA C++ Vue springclou, 刘女士,五险一金，定期体检，全勤奖，年终奖，带薪年假，餐补
java工程师,资深java工程师,苏州,26666,53333,3-5,本科,同程旅行,互联网已上市1000-9999人,Java Spring MySQL Redis 不接受居家办公 架构设计经验 分布式经验, 任女士,节日福利，加班补助，带薪年假，年终奖，餐补，补充医疗保险，五险一金，底薪加提成，零食下午茶，免费班车，通讯补贴，生日福利，团建聚餐
java工程师,高级java工程师,厦门,15000,20000,5-10,本科,点石网络科技,移动互联网A轮20-99人,后端工程师 Java DDD, 陈女士,交通补助，通讯补贴，餐补，全勤奖，五险一金，节日福利，带薪年假，零食下午茶
java工程师,高级java工程师,广州,13000,19500,5-10,本科,铼博,计算机软件0-20人,Java开发经验 分布式系统开发经验 中大型项目架构设计经验 MySQL 架构师 Redis Spring, 张先生, 
java工程师,资深Java工程师,杭州,25000,50000,5-10,本科,网易,互联网已上市10000人以上,架构师 分布式技术 搜索引擎技术 计算机软件 Redis, 马先生,包吃，带薪年假，定期体检，全勤奖，补充医疗保险，年终奖，五险一金，免费班车，节日福利
java工程师,中级java工程师,上海,15000,25000,5-10,本科,上海怀游网络科技,移动互联网100-499人,后端工程师 Java Spring MySQL Java开发经验 中大型项目架构设计经验, 王先生, 
java工程师,Java工程师(苏州),苏州,8666,14083,5-10,本科,Cteck,计算机软件不需要融资20-99人,微服务架构 Spring SpringBoot SpringCloud Redis MySQL 后端开发 Linux, 胡先生,包吃，年终奖，住房补贴，通讯补贴，餐补，加班补助，零食下午茶，五险一金，股票期权，定期体检，节日福利，员工旅游，全勤奖
java工程师,高级java工程师,杭州,40000,66666,5-10,本科,阿里巴巴国际事业部,互联网已上市10000人以上,Java 支付 MySQL Redis 后端工程师 资金 计算机/软件工程相关经验 收银台, 沙先生,餐补，包吃，员工旅游，住房补贴，股票期权，定期体检，五险一金，节日福利，年终奖，补充医疗保险，免费班车，带薪年假
java工程师,高级JAVA工程师,合肥,10833,16250,5-10,本科,安徽脚印兄弟信息科技,其他专业服务B轮100-499人,Spring MyBatis MySQL Java开发经验 中大型项目架构设计经验 分布式系统开发经验, 杨女士,五险一金，节日福利，年终奖，团建聚餐，生日福利
java工程师,Java开发工程师,杭州,20000,40000,5-10,本科,杭州图尔兹信息技...,计算机软件A轮20-99人,Spring Dubbo MySQL Redis Oracle GIT, 练先生,交通补助，节日福利，通讯补贴，零食下午茶，员工旅游，五险一金，带薪年假，餐补
java工程师,java开发工程师,深圳,10000,15000,5-10,本科,融智汇,其他生活服务未融资20-99人,后端工程师 全栈工程师 Spring, 李女士,带薪年假，五险一金，法定节假日三薪，年终奖
java工程师,java高级工程师,深圳,20000,30000,5-10,本科,腾讯,互联网不需要融资10000人以上,Java开发经验 Java 大数据处理经验 MyBatis toB软件 后端工程师 Spring 无留学背景偏好, 戚先生,包吃，餐补，带薪年假，免费早晚餐，员工旅游，有无线网，节日福利，住房补贴，免费健身房，免费班车，零食下午茶，绩效奖金，公仔周边活动，意外险，交通补助，年终奖，补充医疗保险，定期体检，股票期权，五险一金
java工程师,java开发工程师,广州,16250,27083,5-10,本科,广州乐药,电子商务已上市10000人以上,Java Spring JavaScript, 田女士,餐补，年终奖，节日福利，零食下午茶，绩效奖金，股票期权，五险一金，员工旅游，团建聚餐，带薪年假
java工程师,Java开发工程师,深圳,9000,13000,5-10,本科,万达宝软件,计算机软件100-499人,Java, 翁女士, 
java工程师,Java开发工程师,南京,10000,15000,5-10,本科,佰拓友创智能科技,计算机服务不需要融资20-99人,Spring MyBatis SpringMVC SpringCloud, 陈女士,五险一金，交通补助，全勤奖，带薪年假，定期体检，餐补，年终奖，股票期权，节日福利，生日福利，团建基金
java工程师,Java开发工程师,长沙,13750,25000,5-10,本科,中科云谷,互联网未融资500-999人,SpringCloud 分布式技术 后端工程师 后端开发, 周先生,宿舍有空调，法定节假日三薪，免费工装，带薪年假，员工旅游，高温补贴，五险一金，包住，餐补，工龄奖，免费班车，定期体检，节假日加班费，住房补贴，团建聚餐，年终奖，节日福利，生日福利，补充医疗保险
java工程师,java开发工程师,杭州,18416,27083,5-10,本科,北京欣博电子,信息安全B轮100-499人,Spring AI产品 多线程 高并发, 陈女士,定期体检，五险一金，交通补助，零食下午茶，节日福利，加班补助，员工旅游，公租房，带薪年假，年终奖，补充医疗保险，健身房
java工程师,Java开发工程师,重庆,15000,20000,5-10,本科,神话科技,计算机软件0-20人,全栈开发 客户端开发 Linux Unix Android 架构师 软件工程师, 杨先生, 
java工程师,Java开发工程师,南京,7000,9000,5-10,本科,典易,互联网未融资0-20人,分布式技术 Spring SpringBoot Redis 计算机软件 微信 小程序, 陈先生,节日福利，餐补，补充医疗保险，五险一金
java工程师,JAVA开发工程师,厦门,6500,9750,5-10,本科,云上纵横,互联网金融未融资20-99人,SQL HTML 服务器配置 MVC开发 Spring Oracle MySQL Maven, 陈先生,交通补助，五险一金，年终奖，节日福利，带薪年假，补充医疗保险
java工程师,Java开发工程师,武汉,6000,11000,5-10,本科,宙源科技,计算机软件天使轮0-20人,Javascript Java HTML/CSS, 余女士,五险一金，员工旅游，股票期权，全勤奖，年终奖，带薪年假，节日福利，住房补贴
java工程师,java开发工程师,苏州,11000,20000,5-10,本科,江苏邮乐金服科技,银行不需要融资100-499人,Java开发经验 Java 分布式系统开发经验 架构师 MyBatis 后端工程师 Spring 计算机/软件工程相关经验, 许女士,五险一金
java工程师,Java开发工程师,广州,9750,14083,5-10,本科,宝立能源,计算机软件不需要融资20-99人,后端工程师 Java Java开发经验 后端开发 电网  java, 钟先生,带薪年假，意外险，团建聚餐，员工旅游，生日福利，定期体检，节日福利，五险一金
java工程师,java开发工程师,深圳,13000,25000,5-10,本科,环讯通,计算机软件未融资100-499人,Java SpringCloud Nginx Docker Redis, 陈女士,团建聚餐，零食下午茶，带薪年假，五险一金
java工程师,java开发工程师,杭州,9750,11916,5-10,本科,仓谷数字,互联网天使轮20-99人,后端工程师 全栈工程师 架构师 Java 不接受居家办公, 朱先生,绩效奖金，免费工装，夜班补助，零食下午茶，年终奖，底薪加提成，全勤奖，团建聚餐，法定节假日三薪，保底工资，股票期权，五险一金，带薪年假，意外险，定期体检，节假日加班费，员工旅游，加班补助，生日福利，企业年金
java工程师,java开发工程师,上海,9000,12000,5-10,本科,心古,计算机软件不需要融资0-20人,后端工程师 Java MySQL Spring, 葛先生,带薪年假，年终奖，股票期权，员工旅游，五险一金
java工程师,Java开发工程师,成都,11000,18000,5-10,本科,电科云,大数据不需要融资100-499人,Java SQL Shell Spring Mybatis Redis 后端开发 IDEA, 罗女士,年终奖，定期体检，节日福利，餐补，股票期权，五险一金，补充医疗保险，通讯补贴，带薪年假
java工程师,java高级工程师,海口,15000,20000,5-10,本科,鑫财数字,计算机软件20-99人,Java JavaScript Spring SSH Mybatis SQL Dubbo Netty, 张先生,五险一金
java工程师,java开发工程师,北京,40000,80000,5-10,本科,京东物流,互联网已上市10000人以上,Java Spring JVM MyBatis MySQL Redis, 韩先生,生日福利，法定节假日三薪，带薪年假，绩效奖金，免费班车，加班补助，意外险，工龄奖，补充医疗保险，股票期权，包吃，企业年金，年终奖，交通补助，定期体检，餐补，保底工资，员工旅游，五险一金，夜班补助
java工程师,java开发工程师,潍坊,5000,7000,5-10,本科,宽容软件,计算机软件未融资0-20人,Java开发经验 Java MyBatis 后端工程师 Spring 计算机/软件工程相关经验, 孙先生,年终奖，五险一金，节日福利
java工程师,java全栈工程师,太原,16250,20583,5-10,本科,华稹科技,计算机软件未融资20-99人,Java开发经验 全栈工程师 Java 大数据处理经验 MySQL 计算机/软件工程相关经验, 张先生,年终奖，全勤奖，交通补助，节日福利，带薪年假，住房补贴，餐补，加班补助，员工旅游，通讯补贴
java工程师,java开发工程师,深圳,7000,12000,5-10,本科,深圳市卓亮科技有...,互联网天使轮20-99人,Java MySQL 架构设计经验 SQL Server Spring Oracle, 王先生,年终奖，带薪年假，五险一金，员工旅游，股票期权，节日福利，定期体检
java工程师,java开发工程师,泉州,6000,9000,3-5,大专,西加科技,计算机软件未融资20-99人,MySQL SpringBoot 微服务架构 SpringCloud 后端开发 WEB开发 Linux IDEA, 李女士,带薪年假，五险一金
java工程师,Java开发工程师,大庆,8000,13000,3-5,大专,中关村吉林智能科技,人力资源服务不需要融资0-20人,Java, 王先生,五险一金
java工程师,Java软件工程师,武汉,4000,8000,3-5,大专,微立成,计算机软件0-20人,Java Android iOS, 梅先生, 
java工程师,java开发工程师,北京,23333,46666,3-5,大专,中环寰慧,电力/热力/燃气/水利D轮及以上1000-9999人,Java MyBatis MongoDB, 赵先生,五险一金，定期体检，通讯补贴，节日福利，带薪年假，年终奖
java工程师,java开发工程师,杭州,25000,50000,3-5,大专,华为云计算,计算机服务不需要融资10000人以上,, 邱先生,补充医疗保险，意外险，加班补助，保底工资，免费班车，年终奖，法定节假日三薪，节假日加班费，定期体检，员工旅游，团建聚餐，交通补助，带薪年假，夜班补助，零食下午茶，绩效奖金，五险一金
java工程师,java开发工程师,南昌,10833,16250,3-5,大专,江西惠佑康网络科技,电子商务未融资0-20人,Java开发经验 全栈工程师 Java, 徐女士,生日福利，团建聚餐，包吃，节日福利，高温补贴，带薪年假
java工程师,Java开发工程师,杭州,16250,24916,3-5,大专,源诚科技,计算机软件未融资100-499人,SQL HTML CSS MySQL Oracle Spring 消费金融 SpringCloud, 郑女士,零食下午茶，有无线网，团建聚餐，年终奖，加班补助，定期体检，住房补贴，带薪年假，节日福利，生日福利，补充医疗保险，五险一金，意外险，股票期权，保底工资，员工旅游
java工程师,JAVA开发工程师,长沙,17500,35000,3-5,大专,FLUX,计算机软件未融资500-999人,Java Javascript 数据库, 张先生,员工旅游，节假日加班费，零食下午茶，免费工装，法定节假日三薪，年终奖，底薪加提成，定期体检，节日福利，意外险，带薪年假，保底工资，五险一金，绩效奖金，年会旅游
java工程师,Java开发工程师,西安,15000,30000,3-5,大专,西安华为,通信/网络设备未融资10000人以上,Python Java C/C++, 齐先生,五险一金，员工旅游，有无线网，年终奖，节假日加班费，节日福利，法定节假日三薪，补充医疗保险，定期体检，带薪年假，股票期权，加班补助
java工程师,JAVA开发工程师,石家庄,7000,12000,3-5,大专,神玥软件,计算机软件已上市1000-9999人,Java Spring Oracle SQL Server 不接受居家办公 ERP开发经验 架构设计经验 分布式经验, 雷先生,五险一金，带薪年假，包吃，餐补，节日福利，免费班车，住房补贴
java工程师,Java开发工程师,长沙,10000,15000,3-5,大专,凯特伟业,计算机软件已上市100-499人,Spring SpringMVC Hibernate SpringBoot Redis MySQL 企业级应用开发 Maven, 邓先生,节日福利，带薪年假，通讯补贴，餐补，定期体检，五险一金，加班补助，公司团建，年终奖
java工程师,JAVA开发工程师,太原,7000,9000,3-5,大专,泉江科技,移动互联网未融资20-99人,全栈工程师 Java Linux MySQL 分布式技术 MVC开发, 刘先生,年终奖，交通补助，节日福利，带薪年假，企业年金，餐补，员工旅游，团建聚餐，加班补助，零食下午茶，五险一金，生日福利，定期体检
java工程师,JAVA开发工程师,上海,9750,15166,3-5,大专,上海钛云,移动互联网20-99人,SQL CSS 服务器配置 微服务架构 Spring SpringMVC SpringBoot MySQL, 吴先生, 
java工程师,Java开发工程师,杭州,6083,10950,3-5,大专,网商银行,银行不需要融资1000-9999人,分布式技术, 陈先生,员工旅游，五险一金，餐补，交通补助，加班补助，零食下午茶，补充医疗保险，包吃，通讯补贴，年终奖，节日福利，定期体检，带薪年假，股票期权，免费班车，餐补
java工程师,java开发工程师,北京,11000,19000,3-5,大专,中电金信,计算机软件B轮10000人以上,接受无前端经验/技能 Java Spring Redis Oracle 银行 证券 基金 保险, 臧女士,节日福利，补充医疗保险，五险一金，定期体检
java工程师,java研发工程师,成都,7000,9000,3-5,大专,四方伟业,计算机软件不需要融资500-999人,后端工程师 Java Spring MySQL Java开发经验, 杨先生,零食下午茶，底薪加提成，定期体检，团建聚餐，生日福利，包吃，年终奖，保底工资，意外险，餐补，绩效奖金，节日福利，住房补贴，五险一金，员工旅游，带薪年假，股票期权
java工程师,java研发工程师,武汉,9750,13000,3-5,大专,博思软件,计算机软件不需要融资100-499人,Java MySQL 计算机/软件工程相关经验 Java开发经验, 李女士,补充医疗保险，节日福利，定期体检，通讯补贴，加班补助，五险一金，团建聚餐，带薪年假，交通补助，意外险，高温补贴，餐补，年终奖
java工程师,java全栈工程师,西安,8000,12000,3-5,大专,北京新华时代数据系统,大数据20-99人,全栈工程师 Java MySQL JavaScript Java Spring Redis 大数据经验 分布式经验 微服务经验, 穆女士,带薪年假，五险一金，通讯补贴，定期体检，补充医疗保险
java工程师,Java开发工程师,南京,8000,12000,3-5,大专,星驰科技,互联网未融资20-99人,Java CSS Spring MySQL 全栈开发 Web端 SVN Eclipse, 杨先生,零食下午茶，节日福利，全勤奖，通讯补贴，年终奖，加班补助，带薪年假，员工旅游，补充医疗保险，免费班车，五险一金，股票期权
java工程师,JAVA开发工程师,北京,16250,24916,3-5,大专,智达高山,医疗健康未融资20-99人,MySQL Spring Oracle SQL Server springMVC, 丁女士, 
java工程师,Java开发工程师,庆阳,10000,11000,3-5,大专,智慧魔方,计算机服务不需要融资20-99人,推荐算法 后端开发 全栈, 李先生,通讯补贴，绩效奖金，定期体检，节假日加班费，企业年金，年终奖，带薪年假，五险一金
